severity,peop_in_car,exp,city,highway,gender,speed,op_way,give_way,red_light,bad_grip,bad_visibility,houses,yard_exit,r_roadcross,nr_roadcross,bridge,industry,mall,rwd,awd,fwd,weight,power,vehicle_age,month,d_week,time_of_day,distance,medium,spacious,heavy,small
2,1,43,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1500,180,15,11,5,7,42.17674395182041,0,1,0,0
2,1,20,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1500,180,9,11,5,7,42.17674395182041,0,1,0,0
2,1,19,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12000,500,7,1,6,5,20.61963996366194,0,1,0,0
2,2,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1300,120,11,1,6,5,20.61963996366194,1,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1100,75,15,5,0,6,44.71676901594676,1,0,0,0
1,1,17,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1500,150,3,9,3,5,46.89239187050944,0,0,1,0
0,1,18,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,8000,540,21,9,3,5,46.89239187050944,0,1,0,0
0,1,3,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1300,120,4,7,6,6,141.97557075507365,1,0,0,0
1,2,6,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1500,150,20,7,6,6,141.97557075507365,1,0,0,0
1,1,6,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1700,250,18,8,1,5,153.17317018353265,1,0,0,0
2,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1500,130,9,0,2,7,147.89798494775488,1,0,0,0
2,2,12,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1200,120,3,0,5,0,147.4834293026014,1,0,0,0
2,2,21,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,12000,400,8,7,0,5,152.34443312140462,0,1,0,0
1,2,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1400,110,7,7,0,5,152.34443312140462,1,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1500,180,27,4,3,5,127.91786147430712,1,0,0,0
1,1,38,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1600,80,2,11,2,4,153.50692931608498,1,0,0,0
2,1,34,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,950,90,23,1,1,4,128.59699202867702,1,0,0,0
0,1,9,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,950,75,26,3,4,0,153.28205550719446,1,0,0,0
0,2,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1200,100,16,3,4,0,153.28205550719446,1,0,0,0
0,1,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1200,90,0,6,1,3,153.8278455690025,1,0,0,0
1,1,23,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1000,80,19,8,4,2,193.25345064428367,1,0,0,0
2,1,22,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,200,100,30,8,4,2,193.25345064428367,0,0,0,1
0,1,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2200,300,17,1,1,6,191.73740261649863,0,0,1,0
0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1000,80,35,9,2,3,192.4087450021342,1,0,0,0
0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1200,87,4,7,6,4,174.87898719760616,1,0,0,0
0,1,16,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1200,98,15,7,6,3,219.10824631017036,1,0,0,0
0,2,57,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1100,75,15,7,6,3,219.10824631017036,1,0,0,0
